from,to
76561198061266696,76561198003627491
76561198061266696,76561198004432257
76561198061266696,76561198004503320
76561198061266696,76561198004555637
76561198061266696,76561198005047594
76561198061266696,76561198005113417
76561198061266696,76561198006377575
76561198061266696,76561198007750154
76561198061266696,76561198008199982
76561198061266696,76561198008480668
76561198061266696,76561198008520312
76561198061266696,76561198008566752
76561198061266696,76561198008770672
76561198061266696,76561198008788159
76561198061266696,76561198009794447
76561198061266696,76561198010184881
76561198061266696,76561198010414003
76561198061266696,76561198010503835
76561198061266696,76561198010848142
76561198061266696,76561198010984907
76561198061266696,76561198011010699
76561198061266696,76561198011062423
76561198061266696,76561198011203311
76561198061266696,76561198011479574
76561198061266696,76561198012093995
76561198061266696,76561198012454382
76561198061266696,76561198012523344
76561198061266696,76561198012805541
76561198061266696,76561198013098692
76561198061266696,76561198013294526
76561198061266696,76561198013833248
76561198061266696,76561198013874965
76561198061266696,76561198013959627
76561198061266696,76561198014020282
76561198061266696,76561198014228529
76561198061266696,76561198014834166
76561198061266696,76561198014852881
76561198061266696,76561198015012514
76561198061266696,76561198015026490
76561198061266696,76561198015170893
76561198061266696,76561198015257677
76561198061266696,76561198015495426
76561198061266696,76561198015515171
76561198061266696,76561198015966799
76561198061266696,76561198016219606
76561198061266696,76561198016246150
76561198061266696,76561198016462589
76561198061266696,76561198016775006
76561198061266696,76561198016948787
76561198061266696,76561198017054389
76561198061266696,76561198017283717
76561198061266696,76561198017324062
76561198061266696,76561198017815502
76561198061266696,76561198017855781
76561198061266696,76561198018008308
76561198061266696,76561198018202940
76561198061266696,76561198018715875
76561198061266696,76561198018933647
76561198061266696,76561198019000814
76561198061266696,76561198019167605
76561198061266696,76561198019404270
76561198061266696,76561198019666569
76561198061266696,76561198019794456
76561198061266696,76561198020168467
76561198061266696,76561198020716552
76561198061266696,76561198020930970
76561198061266696,76561198022105784
76561198061266696,76561198023039980
76561198061266696,76561198023376167
76561198061266696,76561198023416824
76561198061266696,76561198024488430
76561198061266696,76561198024734197
76561198061266696,76561198024745887
76561198061266696,76561198025777485
76561198061266696,76561198025970281
76561198061266696,76561198026014419
76561198061266696,76561198026928009
76561198061266696,76561198026960941
76561198061266696,76561198027016127
76561198061266696,76561198027448468
76561198061266696,76561198027702946
76561198061266696,76561198027978961
76561198061266696,76561198028473675
76561198061266696,76561198029412139
76561198061266696,76561198030393874
76561198061266696,76561198030486829
76561198061266696,76561198030665755
76561198061266696,76561198030858475
76561198061266696,76561198031279473
76561198061266696,76561198031507863
76561198061266696,76561198032567933
76561198061266696,76561198032813145
76561198061266696,76561198033803842
76561198061266696,76561198034297706
76561198061266696,76561198034356342
76561198061266696,76561198034378797
76561198061266696,76561198034441603
76561198061266696,76561198034648317
76561198061266696,76561198035436306
76561198061266696,76561198035485675
76561198061266696,76561198035573559
76561198061266696,76561198035804232
76561198061266696,76561198035825843
76561198061266696,76561198036185559
76561198061266696,76561198036797382
76561198061266696,76561198036987787
76561198061266696,76561198037068478
76561198061266696,76561198037426271
76561198061266696,76561198038024136
76561198061266696,76561198038622546
76561198061266696,76561198038838831
76561198061266696,76561198038864953
76561198061266696,76561198039551067
76561198061266696,76561198039795487
76561198061266696,76561198039821572
76561198061266696,76561198039876026
76561198061266696,76561198039944887
76561198061266696,76561198039967510
76561198061266696,76561198040007280
76561198061266696,76561198040037399
76561198061266696,76561198040425375
76561198061266696,76561198040595285
76561198061266696,76561198040914877
76561198061266696,76561198041048147
76561198061266696,76561198041524451
76561198061266696,76561198042285006
76561198061266696,76561198042317967
76561198061266696,76561198042439662
76561198061266696,76561198042940605
76561198061266696,76561198042981379
76561198061266696,76561198042996771
76561198061266696,76561198043075390
76561198061266696,76561198043411658
76561198061266696,76561198043427449
76561198061266696,76561198043816765
76561198061266696,76561198043854342
76561198061266696,76561198043962741
76561198061266696,76561198044255126
76561198061266696,76561198044289203
76561198061266696,76561198044637366
76561198061266696,76561198044695492
76561198061266696,76561198044977807
76561198061266696,76561198045063934
76561198061266696,76561198045102738
76561198061266696,76561198045302665
76561198061266696,76561198045324497
76561198061266696,76561198045756548
76561198061266696,76561198045780366
76561198061266696,76561198046132575
76561198061266696,76561198046160451
76561198061266696,76561198046221709
76561198061266696,76561198046222320
76561198061266696,76561198046785877
76561198061266696,76561198046841346
76561198061266696,76561198046843529
76561198061266696,76561198047173720
76561198061266696,76561198047853527
76561198061266696,76561198048067553
76561198061266696,76561198048161024
76561198061266696,76561198048251171
76561198061266696,76561198048481124
76561198061266696,76561198048717569
76561198061266696,76561198048966141
76561198061266696,76561198049714266
76561198061266696,76561198049903952
76561198061266696,76561198050653156
76561198061266696,76561198050729672
76561198061266696,76561198051191243
76561198061266696,76561198051199961
76561198061266696,76561198051553203
76561198061266696,76561198051838678
76561198061266696,76561198051884183
